plan_id,user_id,target_tabungan,batas_pengeluaran_kategori,tenggat_waktu
PLAN_b7ccc4ff,USER_06471,909254,"{""Food Delivery"": 1125000, ""Coffee Shop"": 375000, ""Movie Ticket"": 375000, ""Gaming"": 375000}",2023-08-31
PLAN_97f3cae4,USER_01395,1690009,"{""Food Delivery"": 2145000, ""Coffee Shop"": 715000, ""Movie Ticket"": 715000, ""Gaming"": 715000}",2023-08-31
PLAN_2902db2e,USER_00384,650872,"{""Food Delivery"": 825000, ""Coffee Shop"": 275000, ""Movie Ticket"": 275000, ""Gaming"": 275000}",2023-08-31
PLAN_90d2ea50,USER_00257,1852023,"{""Food Delivery"": 2130000, ""Coffee Shop"": 710000, ""Movie Ticket"": 710000, ""Gaming"": 710000}",2023-08-31
PLAN_de703797,USER_04931,2180401,"{""Food Delivery"": 2145000, ""Coffee Shop"": 715000, ""Movie Ticket"": 715000, ""Gaming"": 715000}",2023-08-31
PLAN_9e70581f,USER_05181,486861,"{""Food Delivery"": 510000, ""Coffee Shop"": 170000, ""Movie Ticket"": 170000, ""Gaming"": 170000}",2023-08-31
PLAN_fbc52ede,USER_07275,1459088,"{""Food Delivery"": 1695000, ""Coffee Shop"": 565000, ""Movie Ticket"": 565000, ""Gaming"": 565000}",2023-08-31
PLAN_5344e5ca,USER_05710,1305600,"{""Food Delivery"": 1215000, ""Coffee Shop"": 405000, ""Movie Ticket"": 405000, ""Gaming"": 405000}",2023-08-31
PLAN_0b6c037b,USER_03731,1526921,"{""Food Delivery"": 2010000, ""Coffee Shop"": 670000, ""Movie Ticket"": 670000, ""Gaming"": 670000}",2023-08-31
PLAN_d91ca8d3,USER_01167,1343830,"{""Food Delivery"": 1560000, ""Coffee Shop"": 520000, ""Movie Ticket"": 520000, ""Gaming"": 520000}",2023-08-31
PLAN_0d958f6c,USER_06153,2035879,"{""Food Delivery"": 2235000, ""Coffee Shop"": 745000, ""Movie Ticket"": 745000, ""Gaming"": 745000}",2023-08-31
PLAN_b787b33b,USER_01839,1208538,"{""Food Delivery"": 1245000, ""Coffee Shop"": 415000, ""Movie Ticket"": 415000, ""Gaming"": 415000}",2023-08-31
PLAN_ad664af1,USER_09865,1106809,"{""Food Delivery"": 930000, ""Coffee Shop"": 310000, ""Movie Ticket"": 310000, ""Gaming"": 310000}",2023-08-31
PLAN_9e3d5849,USER_05566,947742,"{""Food Delivery"": 1185000, ""Coffee Shop"": 395000, ""Movie Ticket"": 395000, ""Gaming"": 395000}",2023-08-31
PLAN_69d5a592,USER_04900,1014537,"{""Food Delivery"": 1005000, ""Coffee Shop"": 335000, ""Movie Ticket"": 335000, ""Gaming"": 335000}",2023-08-31
PLAN_2b160493,USER_06975,891752,"{""Food Delivery"": 840000, ""Coffee Shop"": 280000, ""Movie Ticket"": 280000, ""Gaming"": 280000}",2023-08-31
PLAN_0c1c1f96,USER_08737,1328992,"{""Food Delivery"": 1905000, ""Coffee Shop"": 635000, ""Movie Ticket"": 635000, ""Gaming"": 635000}",2023-08-31
PLAN_b6f1ebdf,USER_08347,707319,"{""Food Delivery"": 660000, ""Coffee Shop"": 220000, ""Movie Ticket"": 220000, ""Gaming"": 220000}",2023-08-31
PLAN_3cb74e93,USER_06829,1463155,"{""Food Delivery"": 1875000, ""Coffee Shop"": 625000, ""Movie Ticket"": 625000, ""Gaming"": 625000}",2023-08-31
PLAN_fd754dff,USER_04117,958546,"{""Food Delivery"": 1350000, ""Coffee Shop"": 450000, ""Movie Ticket"": 450000, ""Gaming"": 450000}",2023-08-31
PLAN_2be56cdc,USER_06155,974442,"{""Food Delivery"": 750000, ""Coffee Shop"": 250000, ""Movie Ticket"": 250000, ""Gaming"": 250000}",2023-08-31
PLAN_f4dfed80,USER_00051,1474224,"{""Food Delivery"": 1125000, ""Coffee Shop"": 375000, ""Movie Ticket"": 375000, ""Gaming"": 375000}",2023-08-31
PLAN_3f6dd852,USER_00930,1772229,"{""Food Delivery"": 1470000, ""Coffee Shop"": 490000, ""Movie Ticket"": 490000, ""Gaming"": 490000}",2023-08-31
PLAN_21489d9b,USER_03591,456614,"{""Food Delivery"": 525000, ""Coffee Shop"": 175000, ""Movie Ticket"": 175000, ""Gaming"": 175000}",2023-08-31
PLAN_da893013,USER_02590,735440,"{""Food Delivery"": 1005000, ""Coffee Shop"": 335000, ""Movie Ticket"": 335000, ""Gaming"": 335000}",2023-08-31
PLAN_a2f962b7,USER_03043,1532652,"{""Food Delivery"": 1365000, ""Coffee Shop"": 455000, ""Movie Ticket"": 455000, ""Gaming"": 455000}",2023-08-31
PLAN_50dcbf78,USER_03935,1656175,"{""Food Delivery"": 1725000, ""Coffee Shop"": 575000, ""Movie Ticket"": 575000, ""Gaming"": 575000}",2023-08-31
PLAN_7a14366c,USER_03336,1021054,"{""Food Delivery"": 1365000, ""Coffee Shop"": 455000, ""Movie Ticket"": 455000, ""Gaming"": 455000}",2023-08-31
PLAN_bf2fd378,USER_03325,1659646,"{""Food Delivery"": 1665000, ""Coffee Shop"": 555000, ""Movie Ticket"": 555000, ""Gaming"": 555000}",2023-08-31
PLAN_1a205848,USER_03528,1106795,"{""Food Delivery"": 1605000, ""Coffee Shop"": 535000, ""Movie Ticket"": 535000, ""Gaming"": 535000}",2023-08-31
PLAN_7b4a1a22,USER_01473,1966600,"{""Food Delivery"": 1545000, ""Coffee Shop"": 515000, ""Movie Ticket"": 515000, ""Gaming"": 515000}",2023-08-31
PLAN_60bf8892,USER_03895,944084,"{""Food Delivery"": 1125000, ""Coffee Shop"": 375000, ""Movie Ticket"": 375000, ""Gaming"": 375000}",2023-08-31
PLAN_bcce4e0a,USER_00326,698259,"{""Food Delivery"": 630000, ""Coffee Shop"": 210000, ""Movie Ticket"": 210000, ""Gaming"": 210000}",2023-08-31
PLAN_a98795de,USER_06052,1626521,"{""Food Delivery"": 1860000, ""Coffee Shop"": 620000, ""Movie Ticket"": 620000, ""Gaming"": 620000}",2023-08-31
PLAN_a510939a,USER_03700,1869683,"{""Food Delivery"": 1845000, ""Coffee Shop"": 615000, ""Movie Ticket"": 615000, ""Gaming"": 615000}",2023-08-31
PLAN_4bfeb44c,USER_07984,494947,"{""Food Delivery"": 480000, ""Coffee Shop"": 160000, ""Movie Ticket"": 160000, ""Gaming"": 160000}",2023-08-31
PLAN_eda44e1e,USER_04870,1457370,"{""Food Delivery"": 1845000, ""Coffee Shop"": 615000, ""Movie Ticket"": 615000, ""Gaming"": 615000}",2023-08-31
PLAN_875dc873,USER_04742,689354,"{""Food Delivery"": 525000, ""Coffee Shop"": 175000, ""Movie Ticket"": 175000, ""Gaming"": 175000}",2023-08-31
PLAN_654a2b28,USER_08741,2165662,"{""Food Delivery"": 1830000, ""Coffee Shop"": 610000, ""Movie Ticket"": 610000, ""Gaming"": 610000}",2023-08-31
PLAN_651ac20a,USER_07974,717614,"{""Food Delivery"": 555000, ""Coffee Shop"": 185000, ""Movie Ticket"": 185000, ""Gaming"": 185000}",2023-08-31
PLAN_35a3d0a2,USER_05484,1383223,"{""Food Delivery"": 1095000, ""Coffee Shop"": 365000, ""Movie Ticket"": 365000, ""Gaming"": 365000}",2023-08-31
PLAN_f7e8513a,USER_07662,2205101,"{""Food Delivery"": 2070000, ""Coffee Shop"": 690000, ""Movie Ticket"": 690000, ""Gaming"": 690000}",2023-08-31
PLAN_dfffc2f5,USER_01404,2613748,"{""Food Delivery"": 2040000, ""Coffee Shop"": 680000, ""Movie Ticket"": 680000, ""Gaming"": 680000}",2023-08-31
PLAN_f63f84dd,USER_06644,1491234,"{""Food Delivery"": 2055000, ""Coffee Shop"": 685000, ""Movie Ticket"": 685000, ""Gaming"": 685000}",2023-08-31
PLAN_b04a9d62,USER_03963,741509,"{""Food Delivery"": 930000, ""Coffee Shop"": 310000, ""Movie Ticket"": 310000, ""Gaming"": 310000}",2023-08-31
PLAN_d6ad9d3f,USER_02160,1149750,"{""Food Delivery"": 1650000, ""Coffee Shop"": 550000, ""Movie Ticket"": 550000, ""Gaming"": 550000}",2023-08-31
PLAN_eb81bea4,USER_00509,1868715,"{""Food Delivery"": 2115000, ""Coffee Shop"": 705000, ""Movie Ticket"": 705000, ""Gaming"": 705000}",2023-08-31
PLAN_1c8f57c4,USER_05421,1444224,"{""Food Delivery"": 1560000, ""Coffee Shop"": 520000, ""Movie Ticket"": 520000, ""Gaming"": 520000}",2023-08-31
PLAN_a0665030,USER_00536,1347629,"{""Food Delivery"": 1590000, ""Coffee Shop"": 530000, ""Movie Ticket"": 530000, ""Gaming"": 530000}",2023-08-31
PLAN_50b18583,USER_03732,1444702,"{""Food Delivery"": 1185000, ""Coffee Shop"": 395000, ""Movie Ticket"": 395000, ""Gaming"": 395000}",2023-08-31
PLAN_034de4dd,USER_00058,542701,"{""Food Delivery"": 600000, ""Coffee Shop"": 200000, ""Movie Ticket"": 200000, ""Gaming"": 200000}",2023-08-31
PLAN_cb73f928,USER_01431,1588358,"{""Food Delivery"": 1860000, ""Coffee Shop"": 620000, ""Movie Ticket"": 620000, ""Gaming"": 620000}",2023-08-31
PLAN_c476b704,USER_01569,879336,"{""Food Delivery"": 855000, ""Coffee Shop"": 285000, ""Movie Ticket"": 285000, ""Gaming"": 285000}",2023-08-31
PLAN_58330950,USER_09093,1563066,"{""Food Delivery"": 2055000, ""Coffee Shop"": 685000, ""Movie Ticket"": 685000, ""Gaming"": 685000}",2023-08-31
PLAN_c9e2e385,USER_08679,1784175,"{""Food Delivery"": 1485000, ""Coffee Shop"": 495000, ""Movie Ticket"": 495000, ""Gaming"": 495000}",2023-08-31
PLAN_50319d48,USER_03820,752185,"{""Food Delivery"": 1050000, ""Coffee Shop"": 350000, ""Movie Ticket"": 350000, ""Gaming"": 350000}",2023-08-31
PLAN_30e9c673,USER_03468,894099,"{""Food Delivery"": 675000, ""Coffee Shop"": 225000, ""Movie Ticket"": 225000, ""Gaming"": 225000}",2023-08-31
PLAN_4fe00ba4,USER_02224,1719077,"{""Food Delivery"": 1455000, ""Coffee Shop"": 485000, ""Movie Ticket"": 485000, ""Gaming"": 485000}",2023-08-31
PLAN_f7b911b9,USER_04519,1534356,"{""Food Delivery"": 1920000, ""Coffee Shop"": 640000, ""Movie Ticket"": 640000, ""Gaming"": 640000}",2023-08-31
PLAN_ad83764c,USER_00916,774252,"{""Food Delivery"": 1155000, ""Coffee Shop"": 385000, ""Movie Ticket"": 385000, ""Gaming"": 385000}",2023-08-31
PLAN_d20d3179,USER_06348,1543142,"{""Food Delivery"": 1275000, ""Coffee Shop"": 425000, ""Movie Ticket"": 425000, ""Gaming"": 425000}",2023-08-31
PLAN_bcf47fcd,USER_01868,1587377,"{""Food Delivery"": 1395000, ""Coffee Shop"": 465000, ""Movie Ticket"": 465000, ""Gaming"": 465000}",2023-08-31
PLAN_fac99d6e,USER_00724,1521526,"{""Food Delivery"": 1320000, ""Coffee Shop"": 440000, ""Movie Ticket"": 440000, ""Gaming"": 440000}",2023-08-31
PLAN_51e05821,USER_09458,2107811,"{""Food Delivery"": 1785000, ""Coffee Shop"": 595000, ""Movie Ticket"": 595000, ""Gaming"": 595000}",2023-08-31
PLAN_ef1eba3b,USER_06794,977380,"{""Food Delivery"": 1365000, ""Coffee Shop"": 455000, ""Movie Ticket"": 455000, ""Gaming"": 455000}",2023-08-31
PLAN_258aa89c,USER_01317,2037698,"{""Food Delivery"": 2250000, ""Coffee Shop"": 750000, ""Movie Ticket"": 750000, ""Gaming"": 750000}",2023-08-31
PLAN_43ae9823,USER_02077,1171662,"{""Food Delivery"": 1575000, ""Coffee Shop"": 525000, ""Movie Ticket"": 525000, ""Gaming"": 525000}",2023-08-31
PLAN_e64e5f29,USER_06845,745241,"{""Food Delivery"": 600000, ""Coffee Shop"": 200000, ""Movie Ticket"": 200000, ""Gaming"": 200000}",2023-08-31
PLAN_fad33c7d,USER_02524,2110287,"{""Food Delivery"": 1950000, ""Coffee Shop"": 650000, ""Movie Ticket"": 650000, ""Gaming"": 650000}",2023-08-31
PLAN_788976a7,USER_06965,1570459,"{""Food Delivery"": 1770000, ""Coffee Shop"": 590000, ""Movie Ticket"": 590000, ""Gaming"": 590000}",2023-08-31
PLAN_0c26a59e,USER_02936,499872,"{""Food Delivery"": 705000, ""Coffee Shop"": 235000, ""Movie Ticket"": 235000, ""Gaming"": 235000}",2023-08-31
PLAN_706cc84f,USER_00889,629271,"{""Food Delivery"": 720000, ""Coffee Shop"": 240000, ""Movie Ticket"": 240000, ""Gaming"": 240000}",2023-08-31
PLAN_48d5e3da,USER_02268,1537212,"{""Food Delivery"": 1740000, ""Coffee Shop"": 580000, ""Movie Ticket"": 580000, ""Gaming"": 580000}",2023-08-31
PLAN_e84133d5,USER_06110,1452869,"{""Food Delivery"": 1260000, ""Coffee Shop"": 420000, ""Movie Ticket"": 420000, ""Gaming"": 420000}",2023-08-31
PLAN_503298b5,USER_06578,2145200,"{""Food Delivery"": 1965000, ""Coffee Shop"": 655000, ""Movie Ticket"": 655000, ""Gaming"": 655000}",2023-08-31
PLAN_03262439,USER_03529,2774202,"{""Food Delivery"": 2205000, ""Coffee Shop"": 735000, ""Movie Ticket"": 735000, ""Gaming"": 735000}",2023-08-31
PLAN_7a31103a,USER_03485,1634158,"{""Food Delivery"": 1665000, ""Coffee Shop"": 555000, ""Movie Ticket"": 555000, ""Gaming"": 555000}",2023-08-31
PLAN_eda038f5,USER_00515,615776,"{""Food Delivery"": 825000, ""Coffee Shop"": 275000, ""Movie Ticket"": 275000, ""Gaming"": 275000}",2023-08-31
PLAN_38816ff7,USER_02129,599635,"{""Food Delivery"": 525000, ""Coffee Shop"": 175000, ""Movie Ticket"": 175000, ""Gaming"": 175000}",2023-08-31
PLAN_e4e3f84b,USER_08642,581059,"{""Food Delivery"": 495000, ""Coffee Shop"": 165000, ""Movie Ticket"": 165000, ""Gaming"": 165000}",2023-08-31
PLAN_33000570,USER_00975,2138949,"{""Food Delivery"": 2055000, ""Coffee Shop"": 685000, ""Movie Ticket"": 685000, ""Gaming"": 685000}",2023-08-31
PLAN_69800a55,USER_06105,2550192,"{""Food Delivery"": 2160000, ""Coffee Shop"": 720000, ""Movie Ticket"": 720000, ""Gaming"": 720000}",2023-08-31
PLAN_beedcf0e,USER_05483,866401,"{""Food Delivery"": 870000, ""Coffee Shop"": 290000, ""Movie Ticket"": 290000, ""Gaming"": 290000}",2023-08-31
PLAN_c8631036,USER_03020,1340004,"{""Food Delivery"": 1320000, ""Coffee Shop"": 440000, ""Movie Ticket"": 440000, ""Gaming"": 440000}",2023-08-31
PLAN_c57b2a81,USER_00836,1812977,"{""Food Delivery"": 1905000, ""Coffee Shop"": 635000, ""Movie Ticket"": 635000, ""Gaming"": 635000}",2023-08-31
PLAN_e18cf961,USER_09219,471692,"{""Food Delivery"": 690000, ""Coffee Shop"": 230000, ""Movie Ticket"": 230000, ""Gaming"": 230000}",2023-08-31
PLAN_af094130,USER_02867,1506732,"{""Food Delivery"": 2040000, ""Coffee Shop"": 680000, ""Movie Ticket"": 680000, ""Gaming"": 680000}",2023-08-31
PLAN_d96ff6a6,USER_08415,742629,"{""Food Delivery"": 1080000, ""Coffee Shop"": 360000, ""Movie Ticket"": 360000, ""Gaming"": 360000}",2023-08-31
PLAN_4212e802,USER_00933,2389159,"{""Food Delivery"": 2190000, ""Coffee Shop"": 730000, ""Movie Ticket"": 730000, ""Gaming"": 730000}",2023-08-31
PLAN_2c183ea7,USER_00664,1432648,"{""Food Delivery"": 1635000, ""Coffee Shop"": 545000, ""Movie Ticket"": 545000, ""Gaming"": 545000}",2023-08-31
PLAN_52f87cae,USER_06850,1433142,"{""Food Delivery"": 1425000, ""Coffee Shop"": 475000, ""Movie Ticket"": 475000, ""Gaming"": 475000}",2023-08-31
PLAN_93058dd2,USER_09242,1201766,"{""Food Delivery"": 945000, ""Coffee Shop"": 315000, ""Movie Ticket"": 315000, ""Gaming"": 315000}",2023-08-31
PLAN_03eeb5b0,USER_06733,1848952,"{""Food Delivery"": 2220000, ""Coffee Shop"": 740000, ""Movie Ticket"": 740000, ""Gaming"": 740000}",2023-08-31
PLAN_c6721954,USER_01196,521841,"{""Food Delivery"": 555000, ""Coffee Shop"": 185000, ""Movie Ticket"": 185000, ""Gaming"": 185000}",2023-08-31
PLAN_d9960305,USER_02750,737331,"{""Food Delivery"": 630000, ""Coffee Shop"": 210000, ""Movie Ticket"": 210000, ""Gaming"": 210000}",2023-08-31
PLAN_a2aa3f47,USER_05320,1658877,"{""Food Delivery"": 2025000, ""Coffee Shop"": 675000, ""Movie Ticket"": 675000, ""Gaming"": 675000}",2023-08-31
PLAN_eec756c2,USER_09262,398482,"{""Food Delivery"": 555000, ""Coffee Shop"": 185000, ""Movie Ticket"": 185000, ""Gaming"": 185000}",2023-08-31
PLAN_eca4b52b,USER_06818,1586394,"{""Food Delivery"": 1845000, ""Coffee Shop"": 615000, ""Movie Ticket"": 615000, ""Gaming"": 615000}",2023-08-31
PLAN_0e916442,USER_01268,1451526,"{""Food Delivery"": 1875000, ""Coffee Shop"": 625000, ""Movie Ticket"": 625000, ""Gaming"": 625000}",2023-08-31
PLAN_1dbeaf0b,USER_07258,2489309,"{""Food Delivery"": 1935000, ""Coffee Shop"": 645000, ""Movie Ticket"": 645000, ""Gaming"": 645000}",2023-08-31
PLAN_6e836917,USER_09996,2531368,"{""Food Delivery"": 2100000, ""Coffee Shop"": 700000, ""Movie Ticket"": 700000, ""Gaming"": 700000}",2023-08-31
PLAN_f1df7664,USER_03718,2009086,"{""Food Delivery"": 1845000, ""Coffee Shop"": 615000, ""Movie Ticket"": 615000, ""Gaming"": 615000}",2023-08-31
PLAN_af2b4065,USER_02774,1759172,"{""Food Delivery"": 1410000, ""Coffee Shop"": 470000, ""Movie Ticket"": 470000, ""Gaming"": 470000}",2023-08-31
PLAN_a750059b,USER_02811,1298643,"{""Food Delivery"": 1080000, ""Coffee Shop"": 360000, ""Movie Ticket"": 360000, ""Gaming"": 360000}",2023-08-31
PLAN_a0ba6eeb,USER_02102,806867,"{""Food Delivery"": 1020000, ""Coffee Shop"": 340000, ""Movie Ticket"": 340000, ""Gaming"": 340000}",2023-08-31
PLAN_7b6e6e45,USER_09149,2081814,"{""Food Delivery"": 1650000, ""Coffee Shop"": 550000, ""Movie Ticket"": 550000, ""Gaming"": 550000}",2023-08-31
PLAN_b1ae3077,USER_02898,1354621,"{""Food Delivery"": 1320000, ""Coffee Shop"": 440000, ""Movie Ticket"": 440000, ""Gaming"": 440000}",2023-08-31
PLAN_8f961066,USER_03240,2042407,"{""Food Delivery"": 1695000, ""Coffee Shop"": 565000, ""Movie Ticket"": 565000, ""Gaming"": 565000}",2023-08-31
PLAN_0c0a6ff8,USER_02003,2218426,"{""Food Delivery"": 1755000, ""Coffee Shop"": 585000, ""Movie Ticket"": 585000, ""Gaming"": 585000}",2023-08-31
PLAN_4218fd90,USER_00265,1884744,"{""Food Delivery"": 2145000, ""Coffee Shop"": 715000, ""Movie Ticket"": 715000, ""Gaming"": 715000}",2023-08-31
PLAN_6d2644b1,USER_02119,1276559,"{""Food Delivery"": 1725000, ""Coffee Shop"": 575000, ""Movie Ticket"": 575000, ""Gaming"": 575000}",2023-08-31
PLAN_296b3e34,USER_09176,1498080,"{""Food Delivery"": 1830000, ""Coffee Shop"": 610000, ""Movie Ticket"": 610000, ""Gaming"": 610000}",2023-08-31
PLAN_e78127bc,USER_01496,1641173,"{""Food Delivery"": 1725000, ""Coffee Shop"": 575000, ""Movie Ticket"": 575000, ""Gaming"": 575000}",2023-08-31
PLAN_b21d4425,USER_05834,1327150,"{""Food Delivery"": 1095000, ""Coffee Shop"": 365000, ""Movie Ticket"": 365000, ""Gaming"": 365000}",2023-08-31
PLAN_db593156,USER_00028,707077,"{""Food Delivery"": 570000, ""Coffee Shop"": 190000, ""Movie Ticket"": 190000, ""Gaming"": 190000}",2023-08-31
PLAN_757897cb,USER_05235,664588,"{""Food Delivery"": 990000, ""Coffee Shop"": 330000, ""Movie Ticket"": 330000, ""Gaming"": 330000}",2023-08-31
PLAN_739f9b0d,USER_01438,1556069,"{""Food Delivery"": 1545000, ""Coffee Shop"": 515000, ""Movie Ticket"": 515000, ""Gaming"": 515000}",2023-08-31
PLAN_da5c5e00,USER_00531,921317,"{""Food Delivery"": 975000, ""Coffee Shop"": 325000, ""Movie Ticket"": 325000, ""Gaming"": 325000}",2023-08-31
PLAN_518f8b52,USER_02780,1588740,"{""Food Delivery"": 1950000, ""Coffee Shop"": 650000, ""Movie Ticket"": 650000, ""Gaming"": 650000}",2023-08-31
PLAN_c4c5d97a,USER_09440,1355037,"{""Food Delivery"": 1815000, ""Coffee Shop"": 605000, ""Movie Ticket"": 605000, ""Gaming"": 605000}",2023-08-31
PLAN_8342a0cd,USER_01017,762440,"{""Food Delivery"": 855000, ""Coffee Shop"": 285000, ""Movie Ticket"": 285000, ""Gaming"": 285000}",2023-08-31
PLAN_19b8b6c3,USER_00037,1379465,"{""Food Delivery"": 1065000, ""Coffee Shop"": 355000, ""Movie Ticket"": 355000, ""Gaming"": 355000}",2023-08-31
PLAN_c0d78d55,USER_07960,952706,"{""Food Delivery"": 1080000, ""Coffee Shop"": 360000, ""Movie Ticket"": 360000, ""Gaming"": 360000}",2023-08-31
PLAN_1305283d,USER_03376,1731421,"{""Food Delivery"": 1710000, ""Coffee Shop"": 570000, ""Movie Ticket"": 570000, ""Gaming"": 570000}",2023-08-31
PLAN_b9f8ab0e,USER_05098,1992532,"{""Food Delivery"": 1755000, ""Coffee Shop"": 585000, ""Movie Ticket"": 585000, ""Gaming"": 585000}",2023-08-31
PLAN_cc94e9e6,USER_05169,968177,"{""Food Delivery"": 1065000, ""Coffee Shop"": 355000, ""Movie Ticket"": 355000, ""Gaming"": 355000}",2023-08-31
PLAN_6bb41941,USER_09907,2622470,"{""Food Delivery"": 1995000, ""Coffee Shop"": 665000, ""Movie Ticket"": 665000, ""Gaming"": 665000}",2023-08-31
PLAN_3d8fcb36,USER_00371,1864324,"{""Food Delivery"": 1425000, ""Coffee Shop"": 475000, ""Movie Ticket"": 475000, ""Gaming"": 475000}",2023-08-31
PLAN_e2d9668f,USER_04371,1051497,"{""Food Delivery"": 1260000, ""Coffee Shop"": 420000, ""Movie Ticket"": 420000, ""Gaming"": 420000}",2023-08-31
PLAN_0d7ae559,USER_02079,1512220,"{""Food Delivery"": 1515000, ""Coffee Shop"": 505000, ""Movie Ticket"": 505000, ""Gaming"": 505000}",2023-08-31
PLAN_1c391b70,USER_06707,1001676,"{""Food Delivery"": 1155000, ""Coffee Shop"": 385000, ""Movie Ticket"": 385000, ""Gaming"": 385000}",2023-08-31
PLAN_bd7780bb,USER_09491,1541808,"{""Food Delivery"": 1800000, ""Coffee Shop"": 600000, ""Movie Ticket"": 600000, ""Gaming"": 600000}",2023-08-31
PLAN_0181a91a,USER_06445,528812,"{""Food Delivery"": 765000, ""Coffee Shop"": 255000, ""Movie Ticket"": 255000, ""Gaming"": 255000}",2023-08-31
PLAN_eaf8c430,USER_05897,2092433,"{""Food Delivery"": 1950000, ""Coffee Shop"": 650000, ""Movie Ticket"": 650000, ""Gaming"": 650000}",2023-08-31
PLAN_a1c6f666,USER_08042,841500,"{""Food Delivery"": 840000, ""Coffee Shop"": 280000, ""Movie Ticket"": 280000, ""Gaming"": 280000}",2023-08-31
PLAN_a024eb82,USER_09116,1577218,"{""Food Delivery"": 2250000, ""Coffee Shop"": 750000, ""Movie Ticket"": 750000, ""Gaming"": 750000}",2023-08-31
PLAN_d0aac0c6,USER_08946,1559948,"{""Food Delivery"": 1830000, ""Coffee Shop"": 610000, ""Movie Ticket"": 610000, ""Gaming"": 610000}",2023-08-31
PLAN_08d34ce7,USER_00408,1831935,"{""Food Delivery"": 1440000, ""Coffee Shop"": 480000, ""Movie Ticket"": 480000, ""Gaming"": 480000}",2023-08-31
PLAN_8959d3da,USER_04676,1698199,"{""Food Delivery"": 2055000, ""Coffee Shop"": 685000, ""Movie Ticket"": 685000, ""Gaming"": 685000}",2023-08-31
PLAN_42af7833,USER_09923,480855,"{""Food Delivery"": 630000, ""Coffee Shop"": 210000, ""Movie Ticket"": 210000, ""Gaming"": 210000}",2023-08-31
PLAN_e989ce1e,USER_01043,1102195,"{""Food Delivery"": 1110000, ""Coffee Shop"": 370000, ""Movie Ticket"": 370000, ""Gaming"": 370000}",2023-08-31
PLAN_a4a2a395,USER_06172,774403,"{""Food Delivery"": 585000, ""Coffee Shop"": 195000, ""Movie Ticket"": 195000, ""Gaming"": 195000}",2023-08-31
PLAN_12282035,USER_01705,1602251,"{""Food Delivery"": 1935000, ""Coffee Shop"": 645000, ""Movie Ticket"": 645000, ""Gaming"": 645000}",2023-08-31
PLAN_5836f8ca,USER_05568,635411,"{""Food Delivery"": 570000, ""Coffee Shop"": 190000, ""Movie Ticket"": 190000, ""Gaming"": 190000}",2023-08-31
PLAN_3e111485,USER_00301,1462144,"{""Food Delivery"": 1245000, ""Coffee Shop"": 415000, ""Movie Ticket"": 415000, ""Gaming"": 415000}",2023-08-31
PLAN_55903b79,USER_06067,1844079,"{""Food Delivery"": 2235000, ""Coffee Shop"": 745000, ""Movie Ticket"": 745000, ""Gaming"": 745000}",2023-08-31
PLAN_18583270,USER_03315,2557760,"{""Food Delivery"": 2220000, ""Coffee Shop"": 740000, ""Movie Ticket"": 740000, ""Gaming"": 740000}",2023-08-31
